ticker,bucket,offer_price,mcap_listing_b,reason,name,first_trade,mcap_src,mcap_conf,ritter_ticker,match_method
COIN,considered,250.0,46.496513875,direct listing (no underwriter/lockup) - excluded by spec,Coinbase Global Inc,2021-04-14,auto:ritter+yf,high,COIN,ticker+date
MDLN,considered,29.0,38.097799438,too recent: IPO 2025-12-17; +180 td outcome not yet observable,Medline Inc.,2025-12-17,ritter-anchor,med,MDLN,ticker+date
SPOT,considered,165.9,29.5489453728,direct listing (no underwriter/lockup) - excluded by spec,Spotify Technology S.A.,2018-04-03,single:yf,low,SPOT,ticker+date
RBLX,considered,45.0,24.77028447,direct listing (no underwriter/lockup) - excluded by spec,Roblox,2021-03-10,auto:edgar+ritter+yf,high,RBLX,ticker+date
WORK,considered,38.5,20.2254745,direct listing (no underwriter/lockup) - excluded by spec,Slack,2019-06-20,ritter-anchor,med,WORK,ticker+date
PLTR,considered,7.25,11.50952,direct listing (no underwriter/lockup) - excluded by spec,Palantir Technologies,2020-09-30,auto:edgar+ritter+yf,high,PLTR,ticker+date
STUB,considered,23.5,8.6436121505,too recent: IPO 2025-09-17; +180 td outcome not yet observable,"StubHub Holdings, Inc.",2025-09-17,ritter-anchor,med,STUB,ticker+date
BETA,considered,34.0,7.609458502,too recent: IPO 2025-11-04; +180 td outcome not yet observable,"BETA Technologies, Inc.",2025-11-04,ritter-anchor,med,BETA,ticker+date
NTSK,considered,19.0,7.259390743,too recent: IPO 2025-09-18; +180 td outcome not yet observable,Netskope Inc,2025-09-18,ritter-anchor,med,NTSK,ticker+date
SQSP,considered,50.0,6.8038647,direct listing (no underwriter/lockup) - excluded by spec,"SquareSpace, Inc.",2021-05-19,ritter-anchor,med,SQSP,ticker+date
NAVN,considered,25.0,6.20553975,too recent: IPO 2025-10-30; +180 td outcome not yet observable,"Navan, Inc.",2025-10-30,ritter-anchor,med,NAVN,ticker+date
DOCN,considered,47.0,4.9788619275,~$5.0B at listing (<$5B),DigitalOcean Holdings Inc,2021-03-24,auto:edgar+yf,high,DOCN,ticker+date
TEGP,considered,29.0,4.91965976,~$4.9B at listing (<$5B),Tallgrass Energy GP LP,2015-05-07,ritter-anchor,med,TEGP,ticker+date
SE,considered,15.0,4.90558512,~$4.9B at listing (<$5B),Sea Ltd,2017-10-20,single:yf,low,SE,ticker+date
EPE,considered,20.0,4.89506,~$4.9B at listing (<$5B),EP Energy Corp,2014-01-17,ritter-anchor,med,EPE,ticker+date
WGP,considered,22.0,4.815712,~$4.8B at listing (<$5B),Western Gas Equity Partners LP,2012-12-06,ritter-anchor,med,WGP,ticker+date
WDH,considered,12.0,4.729524096,~$4.7B at listing (<$5B),Waterdrop Inc,2021-05-07,single:yf,low,WDH,ticker+date
DOCS,considered,26.0,4.72438876,~$4.7B at listing (<$5B),Doximity Inc,2021-06-24,auto:edgar+ritter,high,DOCS,ticker+date
ARMK,considered,20.0,4.70751672,~$4.7B at listing (<$5B),ARAMARK Holdings Corp,2013-12-12,auto:edgar+yf,high,ARMK,ticker+date
FLNC,considered,28.0,4.66666662,~$4.7B at listing (<$5B),Fluence Energy Inc,2021-10-28,ritter-anchor,med,FLNC,ticker+date
WDAY,considered,28.0,4.648,~$4.6B at listing (<$5B),Workday Inc,2012-10-11,auto:edgar+ritter+yf,high,WDAY,ticker+date
VOYA,considered,19.5,4.6419382425,~$4.6B at listing (<$5B),ING US Inc,2013-05-01,auto:edgar+yf,high,VOYA,ticker+date
CQH,considered,20.0,4.634,~$4.6B at listing (<$5B),Cheniere Energy Partners LP H,2013-12-13,single:yf,low,CQH,ticker+date
SANA,considered,25.0,4.624883199999999,~$4.6B at listing (<$5B),Sana Biotechnology Inc,2021-02-04,auto:edgar+yf,high,SANA,ticker+date
AXTA,considered,19.5,4.5593764905,~$4.6B at listing (<$5B),Axalta Coating Systems Ltd,2014-11-12,auto:edgar+yf,high,AXTA,ticker+date
VVV,considered,22.0,4.499332233,~$4.5B at listing (<$5B),Valvoline Inc,2016-09-23,auto:edgar+yf,high,VVV,ticker+date
YOU,considered,31.0,4.488513808,~$4.5B at listing (<$5B),Clear Secure Inc,2021-06-30,auto:ritter+yf,high,YOU,ticker+date
DOCU,considered,29.0,4.476066596,~$4.5B at listing (<$5B),DocuSign Inc,2018-04-27,auto:edgar+yf,high,DOCU,ticker+date
DT,considered,16.0,4.4479583599999994,~$4.4B at listing (<$5B),Dynatrace Inc,2019-08-01,auto:edgar+yf,high,DT,ticker+date
ARD,considered,19.0,4.444024,~$4.4B at listing (<$5B),Ardagh Group SA,2017-03-15,ritter-anchor,med,ARD,ticker+date
CRCT,considered,20.0,4.42732,~$4.4B at listing (<$5B),Cricut Inc,2021-03-25,auto:edgar+ritter+yf,high,CRCT,ticker+date
NET,considered,15.0,4.400155305,~$4.4B at listing (<$5B),Cloudflare Inc,2019-09-13,ritter-anchor,med,NET,ticker+date
COUR,considered,33.0,4.3896842385,~$4.4B at listing (<$5B),Coursera Inc,2021-03-31,auto:edgar+yf,high,COUR,ticker+date
TEAM,considered,21.0,4.3750888544999995,~$4.4B at listing (<$5B),Atlassian Corp PLC,2015-12-09,auto:ritter+yf,high,TEAM,ticker+date
