ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason
COIN,COIN,Coinbase Global Inc,2021-04-14,2021-04-14,2021,250.0,1.0,185986111.0,,185986000.0,,46.4965,46.49652775,46.496513875,auto:ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
MDLN,MDLN,Medline Inc.,2025-12-17,nan,2025,29.0,1.0,1313717222.0,,,,,38.097799438,38.097799438,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-12-17; +180 td outcome not yet observable
SPOT,SPOT,Spotify Technology S.A.,2018-04-03,2018-04-03,2018,165.9,1.0,,,178112992.0,,29.5489453728,,29.5489453728,single:yf,low,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
RBLX,RBLX,Roblox,2021-03-10,2021-03-10,2021,45.0,1.0,550450766.0,568894000.0,534820000.0,25.60023,24.0669,24.77028447,24.77028447,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
WORK,WORK,Slack,2019-06-20,nan,2019,38.5,1.0,525337000.0,,,,,20.2254745,20.2254745,ritter-anchor,med,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
PLTR,PLTR,Palantir Technologies,2020-09-30,2020-09-30,2020,7.25,1.0,1585000000.0,1726685755.0,1587520000.0,12.51847172375,11.50952,11.49125,11.50952,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
STUB,STUB,"StubHub Holdings, Inc.",2025-09-17,nan,2025,23.5,1.0,367813283.0,,,,,8.6436121505,8.6436121505,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-09-17; +180 td outcome not yet observable
BETA,BETA,"BETA Technologies, Inc.",2025-11-04,nan,2025,34.0,1.0,223807603.0,,,,,7.609458502,7.609458502,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-11-04; +180 td outcome not yet observable
NTSK,NTSK,Netskope Inc,2025-09-18,nan,2025,19.0,1.0,382073197.0,,,,,7.259390743,7.259390743,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-09-18; +180 td outcome not yet observable
SQSP,SQSP,"SquareSpace, Inc.",2021-05-19,nan,2021,50.0,1.0,136077294.0,,,,,6.8038647,6.8038647,ritter-anchor,med,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
NAVN,NAVN,"Navan, Inc.",2025-10-30,nan,2025,25.0,1.0,248221590.0,,,,,6.20553975,6.20553975,ritter-anchor,med,ticker+date,considered,too recent: IPO 2025-10-30; +180 td outcome not yet observable
DOCN,DOCN,DigitalOcean Holdings Inc,2021-03-24,2021-03-24,2021,47.0,1.0,,106563465.0,105303000.0,5.008482855,4.949241,,4.9788619275,auto:edgar+yf,high,ticker+date,considered,~$5.0B at listing (<$5B)
TEGP,TEGP,Tallgrass Energy GP LP,2015-05-07,nan,2015,29.0,1.0,169643440.0,,,,,4.91965976,4.91965976,ritter-anchor,med,ticker+date,considered,~$4.9B at listing (<$5B)
SE,SE,Sea Ltd,2017-10-20,2017-10-20,2017,15.0,2.0,174082722.0,,327039008.0,,4.90558512,,4.90558512,single:yf,low,ticker+date,considered,~$4.9B at listing (<$5B)
EPE,EPE,EP Energy Corp,2014-01-17,nan,2014,20.0,1.0,244753000.0,,,,,4.89506,4.89506,ritter-anchor,med,ticker+date,considered,~$4.9B at listing (<$5B)
WGP,WGP,Western Gas Equity Partners LP,2012-12-06,nan,2012,22.0,1.0,218896000.0,,,,,4.815712,4.815712,ritter-anchor,med,ticker+date,considered,~$4.8B at listing (<$5B)
WDH,WDH,Waterdrop Inc,2021-05-07,2021-05-07,2021,12.0,2.0,3941265290.0,,394127008.0,,4.729524096,,4.729524096,single:yf,low,ticker+date,considered,~$4.7B at listing (<$5B)
DOCS,DOCS,Doximity Inc,2021-06-24,2021-06-24,2021,26.0,1.0,178207520.0,185207000.0,23300000.0,4.815382,0.6058,4.63339552,4.72438876,auto:edgar+ritter,high,ticker+date,considered,~$4.7B at listing (<$5B)
ARMK,ARMK,ARAMARK Holdings Corp,2013-12-12,2013-12-12,2013,20.0,1.0,,230229672.0,240522000.0,4.60459344,4.81044,,4.70751672,auto:edgar+yf,high,ticker+date,considered,~$4.7B at listing (<$5B)
FLNC,FLNC,Fluence Energy Inc,2021-10-28,2021-10-28,2021,28.0,1.0,166666665.0,,49493300.0,,1.3858124,4.66666662,4.66666662,ritter-anchor,med,ticker+date,considered,~$4.7B at listing (<$5B)
WDAY,WDAY,Workday Inc,2012-10-11,2012-10-12,2012,28.0,1.0,163703000.0,166000000.0,192000000.0,4.648,5.376,4.583684,4.648,auto:edgar+ritter+yf,high,ticker+date,considered,~$4.6B at listing (<$5B)
VOYA,VOYA,ING US Inc,2013-05-01,2013-05-02,2013,19.5,1.0,,260769230.0,215327000.0,5.084999985,4.1988765,,4.6419382425,auto:edgar+yf,high,ticker+date,considered,~$4.6B at listing (<$5B)
CQH,CQH,Cheniere Energy Partners LP H,2013-12-13,2013-12-13,2013,20.0,1.0,,,231700000.0,,4.634,,4.634,single:yf,low,ticker+date,considered,~$4.6B at listing (<$5B)
SANA,SANA,Sana Biotechnology Inc,2021-02-04,2021-02-04,2021,25.0,1.0,,187675648.0,182315008.0,4.6918912,4.5578752,,4.624883199999999,auto:edgar+yf,high,ticker+date,considered,~$4.6B at listing (<$5B)
AXTA,AXTA,Axalta Coating Systems Ltd,2014-11-12,2014-11-12,2014,19.5,1.0,,229784358.0,237844000.0,4.480794981,4.637958,,4.5593764905,auto:edgar+yf,high,ticker+date,considered,~$4.6B at listing (<$5B)
VVV,VVV,Valvoline Inc,2016-09-23,2016-09-23,2016,22.0,1.0,,204530203.0,204500000.0,4.499664466,4.499,,4.499332233,auto:edgar+yf,high,ticker+date,considered,~$4.5B at listing (<$5B)
YOU,YOU,Clear Secure Inc,2021-06-30,2021-06-30,2021,31.0,1.0,144790528.0,,144791008.0,,4.488521248,4.488506368,4.488513808,auto:ritter+yf,high,ticker+date,considered,~$4.5B at listing (<$5B)
DOCU,DOCU,DocuSign Inc,2018-04-27,2018-04-27,2018,29.0,1.0,,156585256.0,152108992.0,4.540972424,4.411160768,,4.476066596,auto:edgar+yf,high,ticker+date,considered,~$4.5B at listing (<$5B)
DT,DT,Dynatrace Inc,2019-08-01,2019-08-01,2019,16.0,1.0,,280456811.0,275537984.0,4.487308976,4.408607744,,4.4479583599999994,auto:edgar+yf,high,ticker+date,considered,~$4.4B at listing (<$5B)
ARD,ARD,Ardagh Group SA,2017-03-15,nan,2017,19.0,1.0,233896000.0,,,,,4.444024,4.444024,ritter-anchor,med,ticker+date,considered,~$4.4B at listing (<$5B)
CRCT,CRCT,Cricut Inc,2021-03-25,2021-03-26,2021,20.0,1.0,221366104.0,221365580.0,221366000.0,4.4273116,4.42732,4.42732208,4.42732,auto:edgar+ritter+yf,high,ticker+date,considered,~$4.4B at listing (<$5B)
NET,NET,Cloudflare Inc,2019-09-13,2019-09-13,2019,15.0,1.0,293343687.0,,81360704.0,,1.22041056,4.400155305,4.400155305,ritter-anchor,med,ticker+date,considered,~$4.4B at listing (<$5B)
COUR,COUR,Coursera Inc,2021-03-31,2021-03-31,2021,33.0,1.0,,135770469.0,130271000.0,4.480425477,4.298943,,4.3896842385,auto:edgar+yf,high,ticker+date,considered,~$4.4B at listing (<$5B)
TEAM,TEAM,Atlassian Corp PLC,2015-12-09,2015-12-09,2015,21.0,1.0,208675129.0,,208000000.0,,4.368,4.382177709,4.3750888544999995,auto:ritter+yf,high,ticker+date,considered,~$4.4B at listing (<$5B)
ARX,ARX,Accelerant Holdings,2025-07-24,2025-07-24,2025,21.0,1.0,219986563.0,,195691008.0,,4.109511168,4.619717823,4.3646144955,auto:ritter+yf,high,ticker+date,considered,~$4.4B at listing (<$5B)
WRBY,WRBY,Warby Parker Inc,2021-09-29,2021-09-29,2021,40.0,1.0,108177575.0,113182975.0,77741904.0,4.527319,3.10967616,4.327103,4.327103,auto:edgar+ritter+yf,high,ticker+date,considered,direct listing (no underwriter/lockup) - excluded by spec
SABR,SABR,Sabre Corp,2014-04-17,2014-04-17,2014,16.0,1.0,,264531659.0,273974000.0,4.232506544,4.383584,,4.308045271999999,auto:edgar+yf,high,ticker+date,considered,~$4.3B at listing (<$5B)
LNKD,LNKD,LinkedIn Corp,2011-05-19,nan,2011,45.0,1.0,95675000.0,,,,,4.305375,4.305375,ritter-anchor,med,ticker+date,considered,~$4.3B at listing (<$5B)
EVHC,EVHC,Envision Healthcare Holdings,2013-08-14,2013-08-14,2013,23.0,1.0,,,186730000.0,,4.29479,,4.29479,single:yf,low,ticker+date,considered,~$4.3B at listing (<$5B)
GSKY,GSKY,GreenSky Inc,2018-05-24,nan,2018,23.0,1.0,186189384.0,,,,,4.282355832,4.282355832,ritter-anchor,med,ticker+date,considered,~$4.3B at listing (<$5B)
ETOR,ETOR,eToro Group Ltd.,2025-05-14,nan,2025,52.0,1.0,81915536.0,,,,,4.259607872,4.259607872,ritter-anchor,med,ticker+date,considered,~$4.3B at listing (<$5B)
DV,DV,DoubleVerify Holdings Inc,2021-04-21,2021-04-21,2021,27.0,1.0,,157201888.0,155395008.0,4.244450976,4.195665216,,4.220058096000001,auto:edgar+yf,high,ticker+date,considered,~$4.2B at listing (<$5B)
WRD,WRD,WeRide Inc.,2024-10-25,2024-10-25,2024,15.5,2.0,823477535.0,,271377984.0,,4.206358752,,4.206358752,single:yf,low,ticker+date,considered,~$4.2B at listing (<$5B)
