ticker,reason
ATUS,"no clean price data (delisted/unavailable on Yahoo)"
TWTR,"no clean price data (delisted/unavailable on Yahoo)"
XM,"no clean price data (delisted/unavailable on Yahoo)"
HCP,"no clean price data (delisted/unavailable on Yahoo)"
FDC,"no clean price data (delisted/unavailable on Yahoo)"
CFLT,"no clean price data (delisted/unavailable on Yahoo)"
SDC,"no clean price data (delisted/unavailable on Yahoo)"
MCFE,"no clean price data (delisted/unavailable on Yahoo)"
TSP,"no clean price data (delisted/unavailable on Yahoo)"
ENBL,"no clean price data (delisted/unavailable on Yahoo)"
ZI,"no clean price data (delisted/unavailable on Yahoo)"
YNDX,"no clean price data (delisted/unavailable on Yahoo)"
ATH,"no clean price data (delisted/unavailable on Yahoo)"
INFA,"no clean price data (delisted/unavailable on Yahoo)"
WEBR,"no clean price data (delisted/unavailable on Yahoo)"
ZNGA,"no clean price data (delisted/unavailable on Yahoo)"
EDR,"no clean price data (delisted/unavailable on Yahoo)"
FTCH,"no clean price data (delisted/unavailable on Yahoo)"
TIXT,"no clean price data (delisted/unavailable on Yahoo)"
SGFY,"no clean price data (delisted/unavailable on Yahoo)"
OS,"no clean price data (delisted/unavailable on Yahoo)"
