ticker,effective_date,era,era_lo,win_start,win_end,n_days_wide,car_eff,car_wide
VEEV,2026-05-07,2020–present,2020,2026-04-28,2026-05-08,9,-0.047494864915821,0.010176315713163797
CASY,2026-04-09,2020–present,2020,2026-03-30,2026-04-10,9,-0.03488897878278574,-0.03555005446104964
VRT,2026-03-23,2020–present,2020,2026-03-12,2026-03-24,9,0.016451645995778863,0.0454819666850067
LITE,2026-03-23,2020–present,2020,2026-03-12,2026-03-24,9,0.05419406809364491,0.2298432932671034
COHR,2026-03-23,2020–present,2020,2026-03-12,2026-03-24,9,0.000925860672396972,0.12166902283543513
SATS,2026-03-23,2020–present,2020,2026-03-12,2026-03-24,9,0.023026503223199213,0.023117105940639315
CIEN,2026-02-09,2020–present,2020,2026-01-29,2026-02-10,9,0.14993350558952423,0.16512948642751646
CRH,2025-12-22,2020–present,2020,2025-12-11,2025-12-23,9,-0.02401064517749807,0.009370005827170513
CVNA,2025-12-22,2020–present,2020,2025-12-11,2025-12-23,9,-0.08145283095692613,-0.06734172456286658
FIX,2025-12-22,2020–present,2020,2025-12-11,2025-12-23,9,0.03032276115218613,-0.053233643075981885
ARES,2025-12-11,2020–present,2020,2025-12-02,2025-12-12,9,-0.011781712556738322,0.0864174378035355
SNDK,2025-11-28,2020–present,2020,2025-11-18,2025-12-01,9,-0.05295553904441519,-0.21833812969258948
SOLS,2025-10-30,2020–present,2020,2025-10-21,2025-10-31,9,-0.05237353973505454,-0.0807734882962966
EME,2025-09-22,2020–present,2020,2025-09-11,2025-09-23,9,0.0213906818349896,-0.0021300494970941664
HOOD,2025-09-22,2020–present,2020,2025-09-11,2025-09-23,9,0.039137596340262704,0.053489989063355003
APP,2025-09-22,2020–present,2020,2025-09-11,2025-09-23,9,0.04348260794005787,0.12057399614577613
IBKR,2025-08-28,2020–present,2020,2025-08-19,2025-08-29,9,-0.015025341883037613,-0.023187295338120806
XYZ,2025-07-23,2020–present,2020,2025-07-14,2025-07-24,9,0.01256178951280984,0.1919282804071627
TTD,2025-07-18,2020–present,2020,2025-07-09,2025-07-21,9,-0.020809657414380123,0.06715833579258146
DDOG,2025-07-09,2020–present,2020,2025-06-27,2025-07-10,9,-0.10942642202097064,0.037419200250045526
COIN,2025-05-19,2020–present,2020,2025-05-08,2025-05-20,9,0.06686127357588945,0.2638573515465824
DASH,2025-03-24,2020–present,2020,2025-03-13,2025-03-25,9,0.014960400256467943,0.033321602237200154
TKO,2025-03-24,2020–present,2020,2025-03-13,2025-03-25,9,0.007168866439004384,0.021023322598782035
WSM,2025-03-24,2020–present,2020,2025-03-13,2025-03-25,9,0.005236253465560559,-0.06182380177368907
EXE,2025-03-24,2020–present,2020,2025-03-13,2025-03-25,9,-0.015223866266247277,0.05358214973592623
APO,2024-12-23,2020–present,2020,2024-12-12,2024-12-24,9,0.0014082702328972463,-0.013290800654475965
WDAY,2024-12-23,2020–present,2020,2024-12-12,2024-12-24,9,-0.020105693920840606,-0.004536230624300197
LII,2024-12-23,2020–present,2020,2024-12-12,2024-12-24,9,-0.010977417467390227,-0.03352261397070988
TPL,2024-11-26,2020–present,2020,2024-11-15,2024-11-27,9,-0.057496665151038906,0.18938001690617368
PLTR,2024-09-23,2020–present,2020,2024-09-12,2024-09-24,9,-0.001092175257531025,0.025013292948741328
DELL,2024-09-23,2020–present,2020,2024-09-12,2024-09-24,9,-0.0075398658973349075,0.04296120203120701
ERIE,2024-09-23,2020–present,2020,2024-09-12,2024-09-24,9,0.03159468043875058,0.05099088826369169
KKR,2024-06-24,2020–present,2020,2024-06-12,2024-06-25,9,-0.023307401815413464,-0.0430725976888654
CRWD,2024-06-24,2020–present,2020,2024-06-12,2024-06-25,9,0.013059653444910224,-0.011667283596937028
GDDY,2024-06-24,2020–present,2020,2024-06-12,2024-06-25,9,0.024388838512336197,-0.009813610840075038
VST,2024-05-08,2020–present,2020,2024-04-29,2024-05-09,9,0.1107895247602243,0.23378909327909547
SMCI,2024-03-18,2020–present,2020,2024-03-07,2024-03-19,9,-0.21226879213686722,-0.21144597092942785
DECK,2024-03-18,2020–present,2020,2024-03-07,2024-03-19,9,-0.030585065198929118,-0.01774473208491123
UBER,2023-12-18,2020–present,2020,2023-12-07,2023-12-19,9,-0.016082933308625647,-0.00800105298421494
JBL,2023-12-18,2020–present,2020,2023-12-07,2023-12-19,9,-0.04826962263982648,0.09895458604873653
BLDR,2023-12-18,2020–present,2020,2023-12-07,2023-12-19,9,-0.031091694227213917,0.08361562214025486
HUBB,2023-10-18,2020–present,2020,2023-10-09,2023-10-19,9,-0.04169122528387659,-0.07196602937136554
LULU,2023-10-18,2020–present,2020,2023-10-09,2023-10-19,9,-0.02769815106331619,0.08855395423255075
BX,2023-09-18,2020–present,2020,2023-09-07,2023-09-19,9,0.0347726455600591,0.06967057321867376
