variant,median,mean,t,n
peak: day-1 high (baseline),-0.2919803489303,-0.3016308091537891,-6.5146434758840295,63
peak: day-1 close,-0.25172268778309215,-0.25275065943523223,-5.296131072585101,63
peak: day-1 VWAP (skipped — no intraday data),,,,0
benchmark: QQQ (baseline),-0.2919803489303,-0.3016308091537891,-6.5146434758840295,63
benchmark: SPY,-0.3009433099772707,-0.28803382985774134,-5.917893954912753,63
benchmark: IWM,-0.2472992134810852,-0.2693957612029584,-5.45136688743583,63
horizon: +120 td,-0.31931710554014536,-0.23389970448290462,-4.303275251018403,63
horizon: +180 td (baseline),-0.2919803489303,-0.3016308091537891,-6.5146434758840295,63
horizon: +250 td,-0.4205917199621369,-0.3615844469902575,-7.161204405790711,62
universe auto-complete (Ritter x Nasdaq x EDGAR; no manual expansion),-0.2919803489303,-0.3016308091537891,-6.5146434758840295,63
